Education and Academics,Education Distribution by Category (2021),%
parent,child,value
,Learning Systems,100.0
Learning Systems,Pedagogy,16.88
Pedagogy,Active Learning,6.5
Pedagogy,Competency-Based,10.38
Competency-Based,Micro-Credentials,10.38
Micro-Credentials,Blockchain Issuance,10.38
Blockchain Issuance,Smart Contracts,5.22
Blockchain Issuance,Decentralized IDs,5.16
Learning Systems,Experiential,83.12
Experiential,Lab Simulations,40.12
Lab Simulations,VR Environments,8.73
VR Environments,Haptic Feedback,8.73
Lab Simulations,AR Labs,31.39
AR Labs,Spatial Anchors,31.39
Spatial Anchors,Markerless Tracking,5.99
Spatial Anchors,Cloud Anchoring,25.4
Experiential,Fieldwork Tech,43.0
Fieldwork Tech,Mobile Sensing,43.0
Mobile Sensing,IoT Kits,43.0
IoT Kits,LoRa Modules,29.17
IoT Kits,Edge Computing,13.83
