Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,63.06
Cultural Activities,Art Exhibitions,35.95
Art Exhibitions,Gallery Shows,12.71
Gallery Shows,Group Exhibitions,7.16
Gallery Shows,Solo Exhibitions,5.55
Art Exhibitions,Online Exhibitions,23.24
Online Exhibitions,Virtual Reality,10.31
Online Exhibitions,NFT Gallery,12.93
Cultural Activities,Public Art,27.11
Public Art,Urban Sculpture,20.77
Public Art,Community Projects,6.34
,Artwork Sales,36.94
Artwork Sales,Primary Market,12.83
Primary Market,Galleries,7.77
Primary Market,Art Fairs,5.06
Artwork Sales,Secondary Market,24.11
Secondary Market,Auction Houses,14.22
Auction Houses,Modern Masters,8.48
Auction Houses,Emerging Artists,5.74
Secondary Market,Art Funds,9.89
