Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,59.17
Payment Systems,Fraud Detection,15.96
Fraud Detection,ML Models,15.96
ML Models,Behavior Analysis,9.85
ML Models,Anomaly Detection,6.11
Anomaly Detection,Isolation Forest,6.11
Payment Systems,Gateway APIs,43.21
Gateway APIs,Tokenization,43.21
Tokenization,PCI Compliance,43.21
PCI Compliance,Vaultless Systems,32.07
PCI Compliance,HSM Integration,11.14
Platform Architecture,Recommendation Engines,40.83
Recommendation Engines,Collaborative Filtering,16.27
Collaborative Filtering,Matrix Factorization,16.27
Matrix Factorization,SVD Algorithms,16.27
SVD Algorithms,Parallel Computing,7.7
SVD Algorithms,GPU Acceleration,8.57
Recommendation Engines,Real-Time Prediction,24.56
Real-Time Prediction,Stream Processing,24.56
Stream Processing,Kafka Pipelines,24.56
Kafka Pipelines,Exactly-Once Semantics,14.55
Kafka Pipelines,Stateful Operators,10.01
