Food and Beverage Industry,Food Industry Distribution by Category (2021),%
parent,child,value
,Processing Lines,90.77
Processing Lines,Thermal Systems,90.77
Thermal Systems,Retort Machines,32.14
Retort Machines,Control Units,9.21
Control Units,Pressure Regulation,9.21
Retort Machines,Heat Exchangers,22.93
Heat Exchangers,Plate Designs,22.93
Plate Designs,Laser-Welded,14.07
Plate Designs,Gasket Sealed,8.86
Thermal Systems,Blast Chillers,58.63
Blast Chillers,Refrigeration Circuits,58.63
Refrigeration Circuits,Compressor Types,58.63
Compressor Types,Scroll Compressors,23.01
Compressor Types,Screw Compressors,35.62
,Packaging Systems,9.23
