Human Resources and Employee Management ,Employee Distribution by Category (2022),%
parent,child,value
,Talent Development,100.0
Talent Development,Competency Models,5.15
Talent Development,Career Pathing,94.85
Career Pathing,Succession Planning,76.31
Succession Planning,Graph Databases,76.31
Graph Databases,Neo4j Queries,76.31
Neo4j Queries,Cypher Scripts,63.29
Neo4j Queries,Path Algorithms,13.02
Career Pathing,Leadership Pipeline,18.54
Leadership Pipeline,Simulation Labs,18.54
Simulation Labs,VR Scenarios,18.54
VR Scenarios,Stress Testing,13.44
VR Scenarios,Decision Trees,5.1
